Domain;URL;Status;Source;Rank;Updated at;Confidence;LLM Reasoning;Case Management Status
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.14sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.14sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site);;2026-08-30T11:06:24.332418Z;95;Screenshot: The website prominently displays a registration button with a reward of 188K, indicating an incentive for users to sign up, which is common in online gambling platforms.. Screenshot: The presence of various gaming options such as casino, sports betting, and e-sports suggests that the site facilitates online gambling activities.. Screenshot: The site includes a section for depositing money, which is a key feature of online gambling platforms where users fund their accounts to place bets.. Screenshot: The URL contains multiple references to 'account' and 'login', which are typical features of platforms that require user accounts to participate in gambling activities.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site);;2026-08-30T11:06:09.550204Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related terms such as '8000 VND' and 'KKWIN' suggests gambling activities.. Screenshot: The website includes various gaming options like 'Game Bài', 'Thể Thao', and 'Xó Sổ', which are commonly associated with online gambling.. Screenshot: The site has a section for 'VIP Club', often linked to gambling platforms offering exclusive benefits to members.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.08sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.08sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site);;2026-08-30T11:05:54.293618Z;95;Screenshot: The website prominently displays a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related terms such as '8000' and 'LỦA XI MỜN PHI' suggests gambling activities.. Screenshot: The website features various gaming options like 'Game Bài', 'Thể Thao', and 'Xó Sổ', which are commonly associated with online gambling.. Screenshot: The site includes promotional offers and bonuses, which are typical in online gambling platforms to attract and retain users.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.16sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.16sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site);;2026-08-30T11:05:39.486127Z;95;Screenshot: The website prominently displays a registration button with a monetary value (188K), indicating a financial transaction related to gambling.. Screenshot: The presence of casino-related icons and games such as 'Casino', 'Game Bài', and 'Xó Sổ' directly suggests online gambling activities.. Screenshot: The website includes a section for depositing money, which is a common feature in online gambling platforms.. Screenshot: The URL contains multiple references to 'mobile' and 'account', which are typical indicators of an online platform designed for user accounts and transactions.;Illegal gambling
account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.09sm88.site;https://account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.09sm88.site/;Illegal gambling;Variant (account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.04sm88.site);;2026-08-30T11:05:11.865826Z;95;Screenshot: The website prominently displays a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related terms such as 'Nạp Lên Tip' (Deposit Tip) and 'Xem tất cả' (View All) suggests functionalities related to placing bets or managing betting accounts.. Screenshot: The website features various gaming icons and promotional banners that are typical of online gambling platforms, further supporting the classification.;Illegal gambling
account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.07sm88.site;https://account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.07sm88.site/;Illegal gambling;Variant (account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.04sm88.site);;2026-08-30T11:04:57.625910Z;95;Screenshot: The website prominently displays a registration popup with a reward of 188K, indicating an incentive for users to sign up, which is common in online gambling platforms.. Screenshot: The navigation bar includes sections like 'Casino' and 'E-Sports', which are typical categories in online gambling websites.. Screenshot: The presence of various gaming icons and banners related to gambling activities, such as slots and other casino games, further supports the classification of the website as an online gambling platform.;Illegal gambling
account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.03sm88.site;https://account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.03sm88.site/;Illegal gambling;Variant (account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.04sm88.site);;2026-08-30T11:04:34.841743Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related content such as 'TẢNG NẠP LẦN ĐẦU 29,999,900 VND' (FIRST DEPOSIT BONUS 29,999,900 VND) suggests that users can deposit money to play games, a common feature in online gambling sites.. Screenshot: The website includes various game categories typically associated with online gambling, such as 'Game Bài' (Card Games) and 'Xó Sổ' (Lottery), further supporting the classification as an online gambling site.;Illegal gambling
account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.05sm88.site;https://account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.05sm88.site/;Illegal gambling;Variant (account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.04sm88.site);;2026-08-30T11:04:19.151223Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related promotions, such as 'TẶNG NẠP LẦN ĐẦU 29,999,900 VND,' suggests that users can deposit money to participate in gambling activities.. Screenshot: The website includes various gaming options like 'Game Bài,' 'Thể Thao,' and 'Xó Sổ,' which are commonly associated with online gambling.. Screenshot: The overall design and content of the website, including the display of gaming icons and promotional banners, strongly indicate that it is an online gambling platform.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.13sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.13sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site);;2026-08-30T11:03:49.636626Z;95;Screenshot: The website prominently displays a pop-up with the text 'ĐĂNG KÍ TẶNG NGÀY 188K', indicating a sign-up bonus, which is a common feature in online gambling sites.. Screenshot: The navigation bar includes options like 'BAN CA', 'CASINO', 'XÓ SỐ', and 'E-SPORTS', which are typical categories associated with online gambling platforms.. Screenshot: The presence of various gaming icons and promotional banners for games such as 'PG Treasure' and 'JDB AG' suggests the availability of gambling activities.. Screenshot: The website includes a section for 'NAP LIEN TIEP' (direct deposit), which is a feature commonly used in online gambling to fund user accounts for betting purposes.;Illegal gambling
m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.21sm88.site;https://m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.21sm88.site/;Illegal gambling;Variant (m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site);;2026-08-30T11:03:34.749677Z;95;Screenshot: The website prominently displays a registration button with a reward of 188K, indicating a financial incentive for users to sign up, which is common in online gambling platforms.. Screenshot: The presence of various gaming options such as casino, sports betting, and e-sports suggests that the site offers gambling activities.. Screenshot: The site includes a section for depositing money, which is a key feature of online gambling platforms.. Screenshot: The website features a variety of games typically associated with gambling, such as slots and poker, further supporting the classification as an online gambling site.;Illegal gambling
