investigation,domain,kind,ip,port,url,title,org,country_code,found_by,timestamp
www.skillonnet.com,googleusercontent.com,facet_domain,,,,,,,Certificate name,
www.skillonnet.com,skillonnet.com,facet_domain,,,,,,,Certificate name,
www.skillonnet.com,spinart.cloud,facet_domain,,,,,,,Certificate name,
www.skillonnet.com,barak.net.il,facet_domain,,,,,,,Certificate name,
www.skillonnet.com,comunitel.net,facet_domain,,,,,,,Certificate name,
www.skillonnet.com,cytanet.com.cy,facet_domain,,,,,,,Certificate name,
www.skillonnet.com,iplannetworks.net,facet_domain,,,,,,,Certificate name,
www.skillonnet.com,mundivox.com,facet_domain,,,,,,,Certificate name,
www.skillonnet.com,rima-tde.net,facet_domain,,,,,,,Certificate name,
www.skillonnet.com,allowcasino.com,facet_domain,,,,,,,Page HTML,
www.skillonnet.com,lubaculien.info,facet_domain,,,,,,,Page HTML,
www.skillonnet.com,milewski.org,facet_domain,,,,,,,Page HTML,
www.skillonnet.com,sungambling.com,facet_domain,,,,,,,Page HTML,
www.skillonnet.com,teleanimations.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,amazonaws.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.tech,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.fr,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.bet.ar,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.gr,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.co,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.kz,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,splunkcloud.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.mx,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsafe.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsafe.ee,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsafe.lv,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsafe.pe,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsafe102.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsafe73.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.bet.br,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.cm,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.co.uk,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.com.ar,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.com.py,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.dk,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.es,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.it,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.lt,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson.pe,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson1001.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson42.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betsson69.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betssoncasino.be,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betssonchile.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,betssonsports.be,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,casinoeuro.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,eurocasino.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,guts.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,inkabet.pe,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,jackpot247.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,jallacasino.ee,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,jallacasino.se,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,liveroulette.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,nordicbet.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,nordicbet.dk,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,racebets.com,facet_domain,,,,,,,Certificate name,
